Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY Quality Low-Volatility 30,03-11-2025,17366.5,17389.85,17297.25,17381.2,-3.6,-.02,78759611,10611.6,30.35,6.58,1.79
NIFTY Alpha Quality Low-Volatility 30,03-11-2025,22711.4,22742.35,22616.1,22722.15,-18.35,-.08,76862982,9783.95,37.1,8.13,1.59
NIFTY Alpha Quality Value Low-Volatility 30,03-11-2025,20956.35,20975.55,20862.15,20951.95,-20.55,-.1,99676693,11122.88,24.76,5.51,2.26
NIFTY200 Quality 30,03-11-2025,21088.25,21113.7,20980.5,21070.85,-20.4,-.1,91777302,7405.26,29.13,8.45,2.28
NIFTY Midcap150 Quality 50,03-11-2025,24200.9,24352.15,24146.3,24340.55,145.55,.6,40899064,4794.92,35.94,8.35,1.28
Nifty200 Momentum 30,03-11-2025,31412.45,31659.15,31361.3,31606.7,163.35,.52,95351626,11804.8,39.61,6.76,.43
Nifty India Manufacturing,03-11-2025,15272.05,15328.85,15242.6,15319.65,63.85,.42,274433687,17572.13,28.74,4.4,.97
Nifty100 ESG Sector Leaders,03-11-2025,4276.85,4301.1,4270.55,4293.75,13.75,.32,276337973,23079.36,26.07,4.03,1.19
Nifty200 Alpha 30,03-11-2025,25270.65,25495.8,25254.15,25452.95,173.3,.69,134418692,13880.21,44.23,6.47,.63
Nifty Midcap150 Momentum 50,03-11-2025,61895.6,62400.75,61888.55,62324.1,415.1,.67,168446059,9513.02,40.14,6.63,.53
Nifty Smallcap250 Quality 50,03-11-2025,26659.9,26736.05,26621.9,26662.05,26.85,.1,36563172,2108.36,27.83,4.82,1.44
Nifty Smallcap250 Momentum Quality 100,03-11-2025,46038.55,46324.45,46002.4,46196.95,257.5,.56,132129741,8157.65,28.96,4.41,.97
Nifty MidSmallcap400 Momentum Quality 100,03-11-2025,48775.15,49110.75,48766.2,49067.85,341.9,.7,225922537,12768.64,33.93,6.78,.91
Nifty500 Momentum 50,03-11-2025,53442.3,53961.35,53442.3,53871.05,391.4,.73,128774016,11139.21,41.75,6.84,.32
Nifty200 Value 30,03-11-2025,14208.4,14354.25,14198.55,14322.1,180.95,1.28,394766323,12341.55,10.02,1.53,2.82
Nifty Top 10 Equal Weight,03-11-2025,9765.85,9788.5,9741,9762.85,-18.7,-.19,63215693,8339.11,21.38,3.64,1.49
Nifty500 Multicap Momentum Quality 50,03-11-2025,42473.45,42700.5,42327.65,42660.9,225.5,.53,179611696,10921.99,39.98,9.21,1
Nifty Top 15 Equal Weight,03-11-2025,10802.25,10827.65,10779.2,10806.0,-15.65,-.14,82864590,12249.98,22.13,3.78,1.39
Nifty Top 20 Equal Weight,03-11-2025,9484.8,9515.75,9459.6,9503.3,3.25,.03,129837408,14643.17,23.76,4.08,1.35
Nifty500 Quality 50,03-11-2025,19453.35,19487.9,19372.2,19478.55,55.65,.29,213390036,8044.16,29.56,7.72,1.68
Nifty500 Low Volatility 50,03-11-2025,22645.45,22768.25,22595.95,22740.9,79.45,.35,95205066,9006.78,30.81,4.92,.99
NIFTY100 ESG,03-11-2025,5061.2,5093.8,5056.3,5087.0,23.7,.47,494338820,31331.91,23.84,4.13,1.43
NIFTY100 Enhanced ESG,03-11-2025,5100.55,5133.7,5095.85,5126.7,24.0,.47,458797455,30125.21,24.24,4.23,1.42
NIFTY500 Value 50,03-11-2025,15194.5,15302.3,15176.95,15273.15,134.75,.89,474618512,12883.2,10.47,1.57,2.71
NIFTY100 Alpha 30,03-11-2025,18531.35,18611.8,18463.35,18597.95,51.4,.28,133013094,12616,36.86,5.62,.63
Nifty500 Multifactor MQVLv 50,03-11-2025,31694.05,31821.3,31643.35,31807.4,142.25,.45,218811542,9924.22,17.59,3.14,1.74
NIFTY Alpha Low-Volatility 30,03-11-2025,26772.85,26911.55,26737.8,26875.3,81.9,.31,69632335,10077.11,33.09,5.5,1.13
Nifty500 Flexicap Quality 30,03-11-2025,-,-,-,10718.69,19.4,.18,61041080,8716.59,30.63,5.86,1.7
Nifty Total Market Momentum Quality 50,03-11-2025,-,-,-,43651.06,123.32,.28,154576999,8341.62,43.47,8.91,.76
Nifty500 Equal Weight,03-11-2025,14585.55,14673.95,14583,14658.55,92.05,.63,4238426359,77447.88,29.07,3.86,.88
NIFTY50 Equal Weight,03-11-2025,32859.95,32993.55,32787.8,32954.2,86.7,.26,275858501,23949.88,24.88,3.86,1.35
Nifty 50 Futures Index,03-11-2025,-,-,-,6658.41,-1.7,-.03,-,-,-,-,-
Nifty 50 Arbitrage,03-11-2025,-,-,-,2577.68,3.49,.14,-,-,-,-,-
Nifty 50 Futures TR Index,03-11-2025,-,-,-,27720.26,6.52,.02,-,-,-,-,-
