date,sector,close
2026-01-01,NIFTY FINANCIAL SERVICES,27666.8
2026-01-01,NIFTY FMCG,53718.5
2026-01-01,NIFTY IT,38171.5
2026-01-01,NIFTY MEDIA,1448.45
2026-01-01,NIFTY METAL,11256.0
2026-01-01,NIFTY MNC,30634.7
2026-01-01,NIFTY PHARMA,22632.75
2026-01-01,NIFTY PSU BANK,8571.45
2026-01-01,NIFTY REALTY,885.3
2026-01-01,NIFTY INDIA CONSUMPTION,12236.9
2026-01-01,NIFTY COMMODITIES,9584.4
2026-01-01,NIFTY DIVIDEND OPPORTUNITIES 50,6361.45
2026-01-01,NIFTY INFRASTRUCTURE,9679.2
2026-01-01,NIFTY PSE,9903.65
2026-01-01,NIFTY SERVICES SECTOR,33773.35
2026-01-01,NIFTY50 SHARIAH,4829.2
2026-01-01,NIFTY500 SHARIAH,7187.7
2026-01-01,NIFTY LOW VOLATILITY 50,25669.2
2026-01-01,NIFTY ALPHA 50,50394.5
2026-01-01,NIFTY HIGH BETA 50,3979.0
2026-01-01,NIFTY100 EQUAL WEIGHT,34083.7
2026-01-01,NIFTY100 LIQUID 15,7594.7
2026-01-01,NIFTY CPSE,6394.35
2026-01-01,NIFTY50 VALUE 20,13220.2
2026-01-01,NIFTY MIDCAP LIQUID 15,16065.55
2026-01-01,NIFTY SHARIAH 25,8412.1
2026-01-01,NIFTY GROWTH SECTORS 15,12562.45
2026-01-01,NIFTY50 TR 1X INVERSE,163.55
2026-01-01,NIFTY50 TR 2X LEVERAGE,22022.35
2026-01-01,NIFTY50 PR 1X INVERSE,199.9
2026-01-01,NIFTY50 PR 2X LEVERAGE,14717.3
2026-01-01,NIFTY100 QUALITY 30,5842.2
2026-01-01,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,40299.31
2026-01-01,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,16275.87
2026-01-01,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,9205.16
2026-01-01,NIFTY CONGLOMERATE 50,15152.61
2026-01-01,NIFTY INDIA INFRASTRUCTURE & LOGISTICS,11414.3
2026-01-01,NIFTY INDIA FPI 150,1625.45
2026-01-01,NIFTY WAVES,2081.55
2026-01-01,NIFTY500 HEALTHCARE,18708.85
