date,close
2021-10-04,16.74
2021-10-05,16.4
2021-10-06,17.33
2021-10-07,16.16
2021-10-08,15.65
2021-10-11,16.09
2021-10-12,15.85
2021-10-13,16.1
2021-10-14,15.77
2021-10-18,17.19
2021-10-19,17.38
2021-10-20,18.31
2021-10-21,18.04
2021-10-22,17.55
2021-10-25,17.61
2021-10-26,16.75
2021-10-27,16.83
2021-10-28,17.91
2021-10-29,17.43
2021-11-01,17.24
2021-11-02,17.06
2021-11-03,16.13
2021-11-04,15.75
2021-11-08,16.34
2021-11-09,16.0
2021-11-10,16.31
2021-11-11,16.35
2021-11-12,15.22
2021-11-15,15.47
2021-11-16,15.2
2021-11-17,14.98
2021-11-18,14.86
2021-11-22,17.52
2021-11-23,18.02
2021-11-24,17.1
2021-11-25,16.66
2021-11-26,20.8
2021-11-29,20.83
2021-11-30,21.17
2021-12-01,19.45
2021-12-02,18.09
2021-12-03,18.46
2021-12-06,20.08
2021-12-07,18.46
2021-12-08,17.27
2021-12-09,16.6
2021-12-10,16.06
2021-12-13,16.57
2021-12-14,16.95
2021-12-15,17.22
2021-12-16,15.9
2021-12-17,16.34
2021-12-20,18.97
2021-12-21,17.54
2021-12-22,16.58
2021-12-23,15.83
2021-12-24,16.15
2021-12-27,17.12
2021-12-28,16.48
2021-12-29,16.24
2021-12-30,16.57
2021-12-31,16.22
2022-01-03,16.45
2022-01-04,16.12
2022-01-05,17.23
2022-01-06,17.98
2022-01-07,17.6
2022-01-10,17.68
2022-01-11,17.76
2022-01-12,17.18
2022-01-13,16.71
2022-01-14,16.56
2022-01-17,16.77
2022-01-18,17.78
2022-01-19,17.82
2022-01-20,17.79
2022-01-21,18.89
2022-01-24,22.83
2022-01-25,21.36
2022-01-27,21.07
2022-01-28,20.7
2022-01-31,21.95
2022-02-01,19.98
2022-02-02,18.65
2022-02-03,19.16
2022-02-04,18.9
2022-02-07,20.44
2022-02-08,19.69
2022-02-09,18.56
2022-02-10,17.71
2022-02-11,18.68
2022-02-14,22.98
2022-02-15,20.61
2022-02-16,20.59
2022-02-17,22.01
2022-02-18,22.17
2022-02-21,22.9
2022-02-22,26.66
2022-02-23,24.54
2022-02-24,31.98
2022-02-25,26.74
2022-02-28,28.57
2022-03-02,29.23
2022-03-03,28.16
2022-03-04,27.96
2022-03-07,29.33
2022-03-08,28.59
2022-03-09,27.47
2022-03-10,25.58
2022-03-11,25.35
2022-03-14,25.68
2022-03-15,26.73
2022-03-16,24.12
2022-03-17,22.61
2022-03-21,24.62
2022-03-22,24.07
2022-03-23,24.75
2022-03-24,23.93
2022-03-25,23.43
