symbol,cap_tier,cap_source,adv_cr,dlv_adv_cr,dlv_cover
NEULANDLAB,SMALL,nse_index,164.4,60.57,
NEWGEN,SMALL,nse_index,75.6,17.06,
NIVABUPA,SMALL,nse_index,9.8,3.99,
NUVAMA,SMALL,nse_index,72.3,31.78,
NUVOCO,SMALL,nse_index,11.2,5.41,
OLAELEC,SMALL,nse_index,278.6,56.7,
OLECTRA,SMALL,nse_index,48.6,18.01,
ONESOURCE,SMALL,nse_index,44.1,21.27,
PCBL,SMALL,nse_index,82.3,24.81,
PGEL,SMALL,nse_index,86.1,27.63,
PNBHOUSING,SMALL,nse_index,115.0,51.9,
PTCIL,SMALL,nse_index,75.8,22.37,
PVRINOX,SMALL,nse_index,74.8,31.03,
PARADEEP,SMALL,nse_index,136.6,25.84,
PFIZER,SMALL,nse_index,24.9,15.04,
PWL,SMALL,nse_index,166.8,39.49,
PINELABS,SMALL,nse_index,610.0,189.09,
PIRAMALFIN,SMALL,nse_index,73.0,40.85,
PPLPHARMA,SMALL,nse_index,114.7,43.16,
POLYMED,SMALL,nse_index,28.9,12.21,
POONAWALLA,SMALL,nse_index,58.6,29.5,
PFOCUS,SMALL,nse_index,52.9,15.07,
RRKABEL,SMALL,nse_index,164.0,64.28,
RBLBANK,SMALL,nse_index,145.6,65.86,
RHIM,SMALL,nse_index,32.5,9.95,
RITES,SMALL,nse_index,11.1,4.41,
RAILTEL,SMALL,nse_index,23.0,5.48,
RAINBOW,SMALL,nse_index,15.5,8.64,
RKFORGE,SMALL,nse_index,93.5,39.25,
REDINGTON,SMALL,nse_index,312.7,80.74,
RPOWER,SMALL,nse_index,43.8,13.23,
SBFC,SMALL,nse_index,19.7,9.83,
SAGILITY,SMALL,nse_index,107.7,44.18,
SAILIFE,SMALL,nse_index,103.9,47.19,
SAMMAANCAP,SMALL,nse_index,102.0,47.83,
SAPPHIRE,SMALL,nse_index,50.1,17.47,
SARDAEN,SMALL,nse_index,51.8,10.55,
SAREGAMA,SMALL,nse_index,32.8,11.56,
SCHNEIDER,SMALL,nse_index,45.9,21.35,
SCI,SMALL,nse_index,70.4,25.29,
SHYAMMETL,SMALL,nse_index,57.0,28.3,
SIGNATURE,SMALL,nse_index,18.9,1.85,
SOBHA,SMALL,nse_index,11.5,5.67,
SONACOMS,SMALL,nse_index,185.6,82.2,
SONATSOFTW,SMALL,nse_index,47.6,13.88,
STARHEALTH,SMALL,nse_index,40.5,26.34,
SUMICHEM,SMALL,nse_index,21.9,9.57,
SUNTV,SMALL,nse_index,32.7,12.2,
SPLPETRO,SMALL,nse_index,22.2,7.13,
SWANCORP,SMALL,nse_index,65.6,11.59,
SYNGENE,SMALL,nse_index,43.8,20.52,
SYRMA,SMALL,nse_index,321.1,81.21,
TBOTEK,SMALL,nse_index,41.1,19.28,
TATACHEM,SMALL,nse_index,136.8,31.9,
TATATECH,SMALL,nse_index,131.1,39.83,
TTML,SMALL,nse_index,10.5,2.52,
TECHNOE,SMALL,nse_index,19.0,9.16,
TEGA,SMALL,nse_index,92.6,24.96,
TEJASNET,SMALL,nse_index,186.8,32.39,
TENNIND,SMALL,nse_index,124.6,73.19,
RAMCOCEM,SMALL,nse_index,23.6,12.04,
TIMKEN,SMALL,nse_index,12.7,6.8,
TITAGARH,SMALL,nse_index,42.4,14.55,
TARIL,SMALL,nse_index,41.9,14.72,
TRAVELFOOD,SMALL,nse_index,11.0,3.97,
