symbol,sector
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Construction
NCC,Construction
NHPC,Power
NLCINDIA,Power
NMDC,Metals & Mining
NSLNISP,Metals & Mining
NTPCGREEN,Power
NTPC,Power
NH,Healthcare
NATIONALUM,Metals & Mining
NAVA,Power
NAVINFLUOR,Chemicals
NESTLEIND,Fast Moving Consumer Goods
NETWEB,Information Technology
NEULANDLAB,Healthcare
NEWGEN,Information Technology
NAM-INDIA,Financial Services
NIVABUPA,Financial Services
NUVAMA,Financial Services
NUVOCO,Construction Materials
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
OLAELEC,Automobile and Auto Components
OLECTRA,Automobile and Auto Components
PAYTM,Financial Services
ONESOURCE,Healthcare
OFSS,Information Technology
POLICYBZR,Financial Services
PCBL,Chemicals
PGEL,Consumer Durables
PIIND,Chemicals
PNBHOUSING,Financial Services
PTCIL,Capital Goods
PVRINOX,Media Entertainment & Publication
PAGEIND,Textiles
PARADEEP,Chemicals
PATANJALI,Fast Moving Consumer Goods
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFIZER,Healthcare
PHOENIXLTD,Realty
PWL,Consumer Services
PIDILITIND,Chemicals
PINELABS,Financial Services
PIRAMALFIN,Financial Services
PPLPHARMA,Healthcare
POLYMED,Healthcare
POLYCAB,Capital Goods
POONAWALLA,Financial Services
PFC,Financial Services
POWERGRID,Power
PREMIERENE,Capital Goods
PRESTIGE,Realty
PFOCUS,Media Entertainment & Publication
PNB,Financial Services
RRKABEL,Capital Goods
RBLBANK,Financial Services
RECLTD,Financial Services
RHIM,Capital Goods
RITES,Construction
RADICO,Fast Moving Consumer Goods
RVNL,Construction
RAILTEL,Telecommunication
RAINBOW,Healthcare
RKFORGE,Automobile and Auto Components
REDINGTON,Services
RELIANCE,Oil Gas & Consumable Fuels
RPOWER,Power
SBFC,Financial Services
SBICARD,Financial Services
SBILIFE,Financial Services
SJVN,Power
SRF,Chemicals
SAGILITY,Information Technology
SAILIFE,Healthcare
SAMMAANCAP,Financial Services
MOTHERSON,Automobile and Auto Components
SAPPHIRE,Consumer Services
SARDAEN,Metals & Mining
SAREGAMA,Media Entertainment & Publication
SCHAEFFLER,Automobile and Auto Components
SCHNEIDER,Capital Goods
SCI,Services
SHREECEM,Construction Materials
SHRIRAMFIN,Financial Services
SHYAMMETL,Capital Goods
ENRIN,Capital Goods
SIEMENS,Capital Goods
SIGNATURE,Realty
SOBHA,Realty
SOLARINDS,Chemicals
SONACOMS,Automobile and Auto Components
SONATSOFTW,Information Technology
STARHEALTH,Financial Services
SBIN,Financial Services
SAIL,Metals & Mining
SUMICHEM,Chemicals
SUNPHARMA,Healthcare
SUNTV,Media Entertainment & Publication
SUNDARMFIN,Financial Services
SUPREMEIND,Capital Goods
SPLPETRO,Chemicals
SUZLON,Capital Goods
SWANCORP,Chemicals
SWIGGY,Consumer Services
SYNGENE,Healthcare
SYRMA,Capital Goods
TBOTEK,Consumer Services
TVSMOTOR,Automobile and Auto Components
TATACAP,Financial Services
TATACHEM,Chemicals
TATACOMM,Telecommunication
TCS,Information Technology
TATACONSUM,Fast Moving Consumer Goods
TATAELXSI,Information Technology
TATAINVEST,Financial Services
TMCV,Capital Goods
TMPV,Automobile and Auto Components
TATAPOWER,Power
TATASTEEL,Metals & Mining
TATATECH,Information Technology
TTML,Telecommunication
TECHM,Information Technology
TECHNOE,Construction
TEGA,Capital Goods
TEJASNET,Telecommunication
TENNIND,Automobile and Auto Components
NIACL,Financial Services
RAMCOCEM,Construction Materials
THERMAX,Capital Goods
TIMKEN,Capital Goods
TITAGARH,Capital Goods
TITAN,Consumer Durables
TORNTPHARM,Healthcare
TORNTPOWER,Power
TARIL,Capital Goods
TRAVELFOOD,Consumer Services
TRENT,Consumer Services
TRIDENT,Textiles
TRITURBINE,Capital Goods
TIINDIA,Automobile and Auto Components
UCOBANK,Financial Services
UNOMINDA,Automobile and Auto Components
UPL,Chemicals
UTIAMC,Financial Services
ULTRACEMCO,Construction Materials
UNIONBANK,Financial Services
UBL,Fast Moving Consumer Goods
UNITDSPR,Fast Moving Consumer Goods
URBANCO,Consumer Services
USHAMART,Capital Goods
VTL,Textiles
VBL,Fast Moving Consumer Goods
VEDL,Metals & Mining
VIJAYA,Healthcare
VMM,Consumer Services
IDEA,Telecommunication
VOLTAS,Consumer Durables
WAAREEENER,Capital Goods
WELCORP,Capital Goods
WELSPUNLIV,Textiles
WHIRLPOOL,Consumer Durables
WIPRO,Information Technology
WOCKPHARMA,Healthcare
YESBANK,Financial Services
ZFCVINDIA,Automobile and Auto Components
ZEEL,Media Entertainment & Publication
ZENTEC,Capital Goods
ZENSARTECH,Information Technology
ZYDUSLIFE,Healthcare
ZYDUSWELL,Fast Moving Consumer Goods
ECLERX,Services
