symbol,sector,tier
JSWENERGY,Power,A
JSWINFRA,Services,A
JSWSTEEL,Metals & Mining,A
JAINREC,Metals & Mining,A
JPPOWER,Power,A
J&KBANK,Financial Services ex-Bank,A
JINDALSAW,Capital Goods,A
JSL,Metals & Mining,A
JINDALSTEL,Metals & Mining,A
JIOFIN,Financial Services ex-Bank,A
JUBLFOOD,Consumer Services,A
JUBLINGREA,Chemicals,A
JUBLPHARMA,Healthcare,A
JWL,Capital Goods,A
JYOTICNC,Capital Goods,A
KPRMILL,Textiles,A
KEI,Capital Goods,A
KPITTECH,Information Technology,A
KAJARIACER,Consumer Durables,A
KPIL,Construction,A
KALYANKJIL,Consumer Durables,A
KARURVYSYA,Private Bank,A
KAYNES,Capital Goods,A
KEC,Construction,A
KFINTECH,Financial Services ex-Bank,A
KIRLOSENG,Capital Goods,A
KOTAKBANK,Private Bank,A
KIMS,Healthcare,A
LTF,Financial Services ex-Bank,A
LTTS,Information Technology,A
LGEINDIA,Consumer Durables,A
LICHSGFIN,Financial Services ex-Bank,A
LTFOODS,Fast Moving Consumer Goods,A
LTM,Information Technology,A
LT,Construction,A
LATENTVIEW,Information Technology,A
LAURUSLABS,Healthcare,A
THELEELA,Consumer Services,A
LEMONTREE,Consumer Services,A
LENSKART,Consumer Services,A
LICI,Financial Services ex-Bank,A
LINDEINDIA,Chemicals,A
LLOYDSME,Metals & Mining,A
LODHA,Realty,A
LUPIN,Healthcare,A
MMTC,Services,A
MRF,Automobile and Auto Components,A
MGL,Oil Gas & Consumable Fuels,A
M&MFIN,Financial Services ex-Bank,A
M&M,Automobile and Auto Components,A
MANAPPURAM,Financial Services ex-Bank,A
MRPL,Oil Gas & Consumable Fuels,A
MANKIND,Healthcare,A
MARICO,Fast Moving Consumer Goods,A
MARUTI,Automobile and Auto Components,A
MFSL,Financial Services ex-Bank,A
MAXHEALTH,Healthcare,A
MAZDOCK,Capital Goods,A
MEESHO,Consumer Services,A
MINDACORP,Automobile and Auto Components,A
MSUMI,Automobile and Auto Components,A
MOTILALOFS,Financial Services ex-Bank,A
MPHASIS,Information Technology,A
MCX,Financial Services ex-Bank,A
MUTHOOTFIN,Financial Services ex-Bank,A
NATCOPHARM,Healthcare,A
NBCC,Construction,A
NCC,Construction,A
NHPC,Power,A
NLCINDIA,Power,A
NMDC,Metals & Mining,A
NSLNISP,Metals & Mining,A
NTPCGREEN,Power,A
NTPC,Power,A
NH,Healthcare,A
NATIONALUM,Metals & Mining,A
NAVA,Power,A
NAVINFLUOR,Chemicals,A
NESTLEIND,Fast Moving Consumer Goods,A
NETWEB,Information Technology,A
NEULANDLAB,Healthcare,A
NEWGEN,Information Technology,A
NAM-INDIA,Financial Services ex-Bank,A
NIVABUPA,Financial Services ex-Bank,A
NUVAMA,Financial Services ex-Bank,A
NUVOCO,Construction Materials,A
OBEROIRLTY,Realty,A
ONGC,Oil Gas & Consumable Fuels,A
OIL,Oil Gas & Consumable Fuels,A
OLAELEC,Automobile and Auto Components,A
OLECTRA,Automobile and Auto Components,A
PAYTM,Financial Services ex-Bank,A
ONESOURCE,Healthcare,A
OFSS,Information Technology,A
POLICYBZR,Financial Services ex-Bank,A
PCBL,Chemicals,A
PGEL,Consumer Durables,A
PIIND,Chemicals,A
PNBHOUSING,Financial Services ex-Bank,A
PTCIL,Capital Goods,A
PVRINOX,Media Entertainment & Publication,A
PAGEIND,Textiles,A
PARADEEP,Chemicals,A
PATANJALI,Fast Moving Consumer Goods,A
PERSISTENT,Information Technology,A
PETRONET,Oil Gas & Consumable Fuels,A
PFIZER,Healthcare,A
PHOENIXLTD,Realty,A
PWL,Consumer Services,A
PIDILITIND,Chemicals,A
PINELABS,Financial Services ex-Bank,A
PIRAMALFIN,Financial Services ex-Bank,A
PPLPHARMA,Healthcare,A
POLYMED,Healthcare,A
POLYCAB,Capital Goods,A
POONAWALLA,Financial Services ex-Bank,A
PFC,Financial Services ex-Bank,A
POWERGRID,Power,A
PREMIERENE,Capital Goods,A
PRESTIGE,Realty,A
PFOCUS,Media Entertainment & Publication,A
PNB,PSU Bank,A
RRKABEL,Capital Goods,A
RBLBANK,Private Bank,A
RECLTD,Financial Services ex-Bank,A
RHIM,Capital Goods,A
RITES,Construction,A
RADICO,Fast Moving Consumer Goods,A
RVNL,Construction,A
RAILTEL,Telecommunication,A
RAINBOW,Healthcare,A
RKFORGE,Automobile and Auto Components,A
REDINGTON,Services,A
RELIANCE,Oil Gas & Consumable Fuels,A
RPOWER,Power,A
SBFC,Financial Services ex-Bank,A
SBICARD,Financial Services ex-Bank,A
SBILIFE,Financial Services ex-Bank,A
SJVN,Power,A
SRF,Chemicals,A
SAGILITY,Information Technology,A
SAILIFE,Healthcare,A
SAMMAANCAP,Financial Services ex-Bank,A
MOTHERSON,Automobile and Auto Components,A
SAPPHIRE,Consumer Services,A
SARDAEN,Metals & Mining,A
SAREGAMA,Media Entertainment & Publication,A
SCHAEFFLER,Automobile and Auto Components,A
SCHNEIDER,Capital Goods,A
SCI,Services,A
SHREECEM,Construction Materials,A
SHRIRAMFIN,Financial Services ex-Bank,A
SHYAMMETL,Capital Goods,A
ENRIN,Capital Goods,A
SIEMENS,Capital Goods,A
SIGNATURE,Realty,A
SOBHA,Realty,A
SOLARINDS,Chemicals,A
SONACOMS,Automobile and Auto Components,A
SONATSOFTW,Information Technology,A
STARHEALTH,Financial Services ex-Bank,A
SBIN,PSU Bank,A
SAIL,Metals & Mining,A
SUMICHEM,Chemicals,A
SUNPHARMA,Healthcare,A
SUNTV,Media Entertainment & Publication,A
SUNDARMFIN,Financial Services ex-Bank,A
SUPREMEIND,Capital Goods,A
SPLPETRO,Chemicals,A
SUZLON,Capital Goods,A
SWANCORP,Chemicals,A
SWIGGY,Consumer Services,A
SYNGENE,Healthcare,A
SYRMA,Capital Goods,A
TBOTEK,Consumer Services,A
TVSMOTOR,Automobile and Auto Components,A
TATACAP,Financial Services ex-Bank,A
TATACHEM,Chemicals,A
TATACOMM,Telecommunication,A
TCS,Information Technology,A
TATACONSUM,Fast Moving Consumer Goods,A
TATAELXSI,Information Technology,A
TATAINVEST,Financial Services ex-Bank,A
TMCV,Capital Goods,A
TMPV,Automobile and Auto Components,A
TATAPOWER,Power,A
TATASTEEL,Metals & Mining,A
TATATECH,Information Technology,A
TTML,Telecommunication,A
TECHM,Information Technology,A
TECHNOE,Construction,A
TEGA,Capital Goods,A
TEJASNET,Telecommunication,A
TENNIND,Automobile and Auto Components,A
NIACL,Financial Services ex-Bank,A
RAMCOCEM,Construction Materials,A
THERMAX,Capital Goods,A
TIMKEN,Capital Goods,A
TITAGARH,Capital Goods,A
TITAN,Consumer Durables,A
TORNTPHARM,Healthcare,A
TORNTPOWER,Power,A
TARIL,Capital Goods,A
TRAVELFOOD,Consumer Services,A
TRENT,Consumer Services,A
TRIDENT,Textiles,A
TRITURBINE,Capital Goods,A
TIINDIA,Automobile and Auto Components,A
UCOBANK,PSU Bank,A
UNOMINDA,Automobile and Auto Components,A
UPL,Chemicals,A
UTIAMC,Financial Services ex-Bank,A
ULTRACEMCO,Construction Materials,A
UNIONBANK,PSU Bank,A
UBL,Fast Moving Consumer Goods,A
UNITDSPR,Fast Moving Consumer Goods,A
URBANCO,Consumer Services,A
USHAMART,Capital Goods,A
VTL,Textiles,A
VBL,Fast Moving Consumer Goods,A
VEDL,Metals & Mining,A
VIJAYA,Healthcare,A
VMM,Consumer Services,A
IDEA,Telecommunication,A
VOLTAS,Consumer Durables,A
WAAREEENER,Capital Goods,A
WELCORP,Capital Goods,A
WELSPUNLIV,Textiles,A
WHIRLPOOL,Consumer Durables,A
WIPRO,Information Technology,A
WOCKPHARMA,Healthcare,A
YESBANK,Private Bank,A
ZFCVINDIA,Automobile and Auto Components,A
ZEEL,Media Entertainment & Publication,A
ZENTEC,Capital Goods,A
ZENSARTECH,Information Technology,A
ZYDUSLIFE,Healthcare,A
ZYDUSWELL,Fast Moving Consumer Goods,A
ECLERX,Services,A
BEL,Defence,B
HAL,Defence,B
BDL,Defence,B
SOLARINDS,Defence,B
MAZDOCK,Defence,B
COCHINSHIP,Defence,B
GRSE,Defence,B
DATAPATTNS,Defence,B
ASTRAMICRO,Defence,B
MTARTECH,Defence,B
PARAS,Defence,B
ZENTEC,Defence,B
BHARATFORG,Defence,B
DCXINDIA,Defence,B
APOLLO,Defence,B
IDEAFORGE,Defence,B
TITAGARH,Railways & Wagons,B
JWL,Railways & Wagons,B
RVNL,Railways & Wagons,B
IRCON,Railways & Wagons,B
TEXRAIL,Railways & Wagons,B
RAILTEL,Railways & Wagons,B
IRFC,Railways & Wagons,B
BEML,Railways & Wagons,B
CONCOR,Railways & Wagons,B
IRCTC,Railways & Wagons,B
DIXON,Electronics Manufacturing,B
AMBER,Electronics Manufacturing,B
KAYNES,Electronics Manufacturing,B
SYRMA,Electronics Manufacturing,B
CYIENTDLM,Electronics Manufacturing,B
AVALON,Electronics Manufacturing,B
PGEL,Electronics Manufacturing,B
CENTUM,Electronics Manufacturing,B
ELIN,Electronics Manufacturing,B
EPACK,Electronics Manufacturing,B
SUZLON,Renewables,B
INOXWIND,Renewables,B
WAAREEENER,Renewables,B
PREMIERENE,Renewables,B
BORORENEW,Renewables,B
KPIGREEN,Renewables,B
SWSOLAR,Renewables,B
WEBELSOLAR,Renewables,B
BALRAMCHIN,Sugar & Agri-inputs,B
TRIVENI,Sugar & Agri-inputs,B
DHAMPURSUG,Sugar & Agri-inputs,B
RENUKA,Sugar & Agri-inputs,B
DALMIASUG,Sugar & Agri-inputs,B
BAJAJHIND,Sugar & Agri-inputs,B
COROMANDEL,Sugar & Agri-inputs,B
CHAMBLFERT,Sugar & Agri-inputs,B
UPL,Sugar & Agri-inputs,B
DHANUKA,Sugar & Agri-inputs,B
RALLIS,Sugar & Agri-inputs,B
KSCL,Sugar & Agri-inputs,B
GODREJAGRO,Sugar & Agri-inputs,B
AVANTIFEED,Sugar & Agri-inputs,B
INDHOTEL,Hospitality & Travel,B
EIHOTEL,Hospitality & Travel,B
CHALET,Hospitality & Travel,B
LEMONTREE,Hospitality & Travel,B
JUNIPER,Hospitality & Travel,B
SAMHI,Hospitality & Travel,B
INDIGO,Hospitality & Travel,B
THOMASCOOK,Hospitality & Travel,B
MHRIL,Hospitality & Travel,B
WONDERLA,Hospitality & Travel,B
CONCOR,Logistics,B
DELHIVERY,Logistics,B
BLUEDART,Logistics,B
TCI,Logistics,B
MAHLOG,Logistics,B
VRLLOG,Logistics,B
ALLCARGO,Logistics,B
GATEWAY,Logistics,B
ADANIPORTS,Logistics,B
